DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BE,2017,198,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BE,2018,190,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BE,2019,146,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BE,2020,142,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BG,2008,172,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BG,2009,150,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BG,2010,148,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BG,2011,128,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BG,2012,141,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BG,2013,109,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BG,2014,112,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BG,2015,126,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BG,2016,79,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BG,2017,95,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BG,2018,92,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BG,2019,80,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BG,2020,66,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CH,2008,54,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CH,2009,51,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CH,2010,53,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CH,2011,46,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CH,2012,45,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CH,2013,57,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CH,2014,41,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CH,2015,57,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CH,2016,45,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CH,2017,45,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CH,2018,50,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CH,2019,46,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CH,2020,47,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CY,2008,9,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CY,2009,19,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CY,2010,7,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CY,2011,8,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CY,2012,19,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CY,2013,11,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CY,2014,10,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CY,2015,12,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CY,2016,11,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CY,2017,7,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CY,2018,14,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CY,2019,13,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CY,2020,15,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CZ,2008,113,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CZ,2009,105,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CZ,2010,105,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CZ,2011,83,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CZ,2012,95,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CZ,2013,90,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CZ,2014,81,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CZ,2015,88,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CZ,2016,65,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CZ,2017,40,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CZ,2018,55,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CZ,2019,81,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,CZ,2020,57,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DE,2008,656,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DE,2009,721,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DE,2010,699,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DE,2011,689,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DE,2012,619,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DE,2013,623,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DE,2014,645,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DE,2015,655,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DE,2016,747,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DE,2017,738,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DE,2018,632,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DE,2019,586,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DE,2020,719,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DK,2008,53,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DK,2009,56,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DK,2010,49,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DK,2011,49,
