DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CY,2013,10.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CY,2014,11.0,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CY,2015,10.0,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CY,2016,8.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CY,2017,7.4,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CY,2018,5.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CY,2019,4.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CY,2020,5.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CZ,2010,4.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CZ,2011,4.2,b
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CZ,2012,4.4,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CZ,2013,4.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CZ,2014,3.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CZ,2015,3.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CZ,2016,2.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CZ,2017,1.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CZ,2018,1.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CZ,2019,1.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,CZ,2020,1.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DE,2010,4.6,b
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DE,2011,3.9,b
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DE,2012,3.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DE,2013,3.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DE,2014,3.4,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DE,2015,3.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DE,2016,2.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DE,2017,2.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DE,2018,2.4,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DE,2019,2.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DE,2020,2.7,bp
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DK,2010,5.4,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DK,2011,5.4,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DK,2012,5.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DK,2013,5.0,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DK,2014,4.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DK,2015,4.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DK,2016,4.1,b
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DK,2017,4.0,b
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DK,2018,3.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DK,2019,3.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,DK,2020,3.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EA19,2010,6.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EA19,2011,6.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EA19,2012,7.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EA19,2013,7.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EA19,2014,7.4,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EA19,2015,7.0,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EA19,2016,6.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EA19,2017,5.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EA19,2018,5.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EA19,2019,4.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EA19,2020,5.0,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EE,2010,11.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EE,2011,8.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EE,2012,6.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EE,2013,5.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EE,2014,5.0,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EE,2015,4.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EE,2016,4.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EE,2017,4.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EE,2018,3.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EE,2019,3.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EE,2020,4.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EL,2010,7.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EL,2011,10.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EL,2012,14.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EL,2013,16.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EL,2014,15.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EL,2015,14.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EL,2016,14.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EL,2017,12.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EL,2018,11.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EL,2019,10.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EL,2020,9.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,ES,2010,13.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,ES,2011,14.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,ES,2012,16.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,ES,2013,17.3,
