DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BG,2009,240,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BG,2010,291,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BG,2011,289,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BG,2012,307,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BG,2013,263,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BG,2014,258,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BG,2015,245,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BG,2016,228,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BG,2017,218,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BG,2018,213,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BG,2019,216,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BG,2020,192,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CH,2008,298,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CH,2009,345,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CH,2010,319,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CH,2011,301,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CH,2012,306,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CH,2013,347,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CH,2014,315,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CH,2015,355,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CH,2016,370,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CH,2017,317,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CH,2018,384,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CH,2019,393,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CH,2020,347,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CY,2008,42,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CY,2009,31,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CY,2010,45,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CY,2011,35,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CY,2012,43,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CY,2013,25,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CY,2014,30,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CY,2015,31,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CY,2016,41,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CY,2017,33,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CY,2018,36,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CY,2019,33,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CZ,2008,1079,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CZ,2009,999,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CZ,2010,1282,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CZ,2011,1480,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CZ,2012,1446,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CZ,2013,954,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CZ,2014,1164,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CZ,2015,1430,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CZ,2016,1635,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CZ,2017,1631,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CZ,2018,1638,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CZ,2019,1730,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,CZ,2020,1553,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DE,2008,3930,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DE,2009,3857,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DE,2010,3845,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DE,2011,3927,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DE,2012,3943,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DE,2013,3797,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DE,2014,3639,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DE,2015,3609,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DK,2008,155,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DK,2009,178,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DK,2010,183,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DK,2011,164,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DK,2012,149,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DK,2013,189,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,DK,2014,145,
